PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85
3.416925473,-4.992506171,-2.225190741,2.025218027,80.82117964,55.58799652,-10.33919344,23.18849896,-4.739476794,-12.35730505,-13.54743339,11.30614305,-23.03564085,-19.7419854,1.469089916,-0.966774789,-9.439386111,-8.678362046,-8.737552842,-10.11679671,1.360369635,2.676510107,-4.580857911,2.43104902,-2.297705701,-2.443848532,0.526957626,3.964961036,-4.575947023,-2.563850451,3.577105412,-1.55357672,-0.407820153,-1.565636829,4.182484013,-0.182132364,1.404637177,-3.977979455,-1.969551162,1.790114469,-3.676352072,-0.825872612,-0.115471474,-2.199529958,-0.63569712,3.605177648,1.665045739,-1.944467883,-0.827926052,-1.931874339,2.144243676,-2.880088426,0.120395234,-0.055956765,-0.042998275,4.433635608,-2.252190296,-3.023227471,1.514873279,-0.519816071,2.145021295,3.406409758,-0.148233984,-3.669919852,0.50452423,0.083756195,-1.188922534,-0.34664476,2.220050084,-0.461669969,-1.331742505,-3.550949728,0.587933486,-2.564439048,-3.615452113,-0.310519202,-0.99707076,0.259410133,-0.021520904,-1.031180248,-1.398561209,-2.708993329,-0.033457527,2.092358236,4.108895874
-0.085800315,3.197582982,0.221847815,-4.876405232,2.66697509,-2.915314884,14.80719174,10.31761036,-9.847024599,0.433448093,4.459093117,-4.941739372,7.48038421,-3.959729535,2.979870657,-1.858476813,-6.734003935,-18.24215119,-8.175051708,4.747294295,-16.5412934,-12.20128878,-7.456545243,-15.31010774,-5.06241656,33.96683474,0.38360933,16.78573244,16.29357911,-2.842912035,1.486068232,16.88364995,13.60210599,-16.39468899,-0.641013482,3.575328183,-4.735406236,-7.741549627,-4.218530315,-14.45814529,1.138956082,-14.38341662,1.492317389,23.67555142,9.659083361,9.437031765,2.873413767,0.754904912,13.67452727,27.20769612,-4.534446296,-1.930425531,9.070300471,2.432633391,-4.260452533,-0.91207199,-10.10392115,11.4410375,28.98016713,11.21551854,9.104482808,-19.5499752,7.010092613,-4.76472388,5.815969454,1.302726306,-12.34571961,-5.526346428,-8.377277158,4.034031141,-5.354665651,4.58355317,3.43871859,11.89567939,-0.215629408,0.574202286,-3.458050805,0.45397754,3.147153175,-15.03211193,8.109068312,-3.373920263,-8.938995431,-1.828896762,-5.869602946
-4.963044202,0.466069873,-5.29932525,-6.099297894,-12.84955498,-7.078555561,1.420950076,10.51587262,9.885492592,5.458299914,-9.679702195,5.05422707,0.856530316,-2.962707883,2.235254535,10.51825777,-5.616862897,-14.15822895,-4.159095319,-5.857823106,1.515642034,-5.143420759,-2.706080189,13.66413361,2.321057,-6.560078728,2.045318906,29.38371388,-14.44585611,-23.44177988,-26.62263263,-29.48157794,8.013793922,3.41678413,16.13092981,13.52973718,-3.48307087,-12.63666907,-6.373140032,1.365947641,-5.293772998,11.06690697,3.177393037,-12.97967606,1.693283096,7.80497807,-2.543671851,-9.877014019,-1.886682175,4.226336137,-16.58808208,-2.897809022,-12.67854472,13.35089718,0.609256166,-2.077372953,24.09035507,4.737587535,-7.418912418,2.636760086,12.01152727,-6.972536833,-2.246063858,-21.40717407,5.842427209,-10.31476186,-8.105630788,-16.22071893,-4.323368085,-6.026472358,-13.84483738,-1.690424029,5.259188437,12.75708846,-12.10567692,3.783571659,-10.57706042,-5.674095129,-5.892781601,7.563494888,-3.953871851,-8.257118289,6.773708285,6.155685069,1.352532278
0.477676342,-1.249213599,-0.194421437,-3.114329074,8.185304742,-14.79950123,-3.146588748,-4.07903825,-0.758568329,0.448849303,4.77320765,6.443210443,-5.214195049,-5.379613239,7.7621528,-4.399560255,6.519829515,-3.616248143,-2.342827619,-8.839494153,5.066345934,1.557285765,12.85159552,-10.70947494,-3.091851424,1.046421578,-6.1912603,-0.958832556,-3.44641624,6.32751365,-0.047006636,-7.327869914,2.877866481,-6.903954444,12.96684772,-0.115590813,-11.60982815,-5.231741633,9.607090065,11.1188063,2.125134212,0.847618174,-0.962368832,-12.67124147,5.01631217,-10.49475047,1.468350019,-1.697727936,8.15506061,-3.056635278,-1.334902489,11.79738001,-3.398532718,-7.095972519,25.76004634,5.772973142,0.641822576,4.109230312,-0.404005943,7.17506088,5.568516562,-1.703192648,-7.365698323,3.355769792,13.32301186,22.82203835,10.35976514,10.8790725,15.50650102,-7.378205141,-10.317413,-7.443742031,8.705723126,25.21118965,-3.301625314,14.43346373,-11.43180763,7.034009861,2.831928842,-11.56377743,13.35427526,5.681428178,-27.12022185,-5.682591364,-29.54110589
0.369551201,1.340407577,1.335746626,-11.18616941,2.479699798,-11.80692546,3.696286316,-0.907123926,0.641309756,-9.665217155,4.873046633,-3.755547946,-3.443677152,-7.644046503,4.317091146,-9.961722424,13.78741888,7.620151198,3.218824479,-2.920425052,0.338746885,-14.1381701,3.526507905,14.78855637,7.238446873,-0.915244849,-4.062137186,5.514151748,-5.257904052,22.07701148,-7.610793644,-7.960789777,2.34061716,-2.915146975,12.88892071,-15.6208969,8.562489811,-2.101911145,-15.26215953,-6.417096475,-4.033900972,1.215400663,5.21728446,7.802204902,-0.513443862,22.20367377,5.040493315,28.0337245,-4.599389894,-2.915984012,-6.267607918,10.76248104,-6.167137465,5.022171404,3.671953905,1.095951767,-12.06211821,-6.433256241,15.35574342,-5.3313336,4.472381291,2.472741698,-18.95940287,4.523594699,23.68952006,-12.41788571,14.39326402,-15.91009724,-12.84013585,4.932055137,12.32663669,-9.633786077,-9.368494627,-19.6122948,-3.468819754,-9.866844909,-19.70177944,-8.214392712,-2.107127436,-7.606110669,0.491300885,13.29786089,-5.681229354,15.21408412,4.919063272
3.72812103,-0.514251134,-3.078295351,-2.270622498,0.374367206,-0.705195688,-4.321206887,5.545732668,2.724803757,-1.265237608,-8.221888805,-5.379811775,-1.471581448,-1.670941053,-7.61362265,-6.094799752,-9.40472641,1.48305114,13.53937045,-2.529542828,-3.592484273,-4.156730551,-0.441154815,-1.003219833,7.217605784,-4.723336091,-24.35256756,-8.912612011,-2.540363401,-9.383841663,-7.284081016,3.168412094,-15.99135095,-4.353636312,-15.18901733,17.93647879,16.75775624,0.10815295,-3.833797988,-1.278208363,-11.61699284,-12.34033905,-1.939235457,-5.343234606,-3.420124808,7.490684637,-13.62739795,4.281474371,5.068793143,-9.618105821,-4.820156219,19.37866046,2.763427543,-2.143241199,4.108600398,-30.12115929,7.433784648,-6.202059215,6.399802468,-5.082459025,-20.58399986,-18.00815674,10.60572113,-14.87571902,8.279373115,-4.574995521,30.87802324,13.34761449,-25.43893594,-3.267217047,-7.648778416,-4.693616231,15.6721205,1.958368046,-6.863426216,1.806598267,6.117818165,2.97926693,4.08882991,1.538261698,-6.710248205,0.146714354,-16.83346073,-17.67169215,3.034149892
-8.068412019,-10.93822578,-3.791168911,38.77281904,11.23215669,-15.58801134,14.6521056,-3.107283009,13.50846413,-12.59042543,0.020278471,-17.93562484,13.02799558,-1.411498909,-16.3246252,-46.44205416,-6.620199527,46.94690365,-32.38689273,-34.18489198,13.3798654,6.523177049,-11.68353901,0.273193025,-0.326829684,5.63881185,5.173858163,0.43786665,4.494480535,-12.18031632,2.325352853,2.650755744,14.47990697,6.670272878,2.879782134,8.943596237,3.592043647,2.521161214,-0.101160041,-7.09186466,2.901914766,6.141033383,-0.752143116,-0.078256095,0.85058112,-0.086260735,-0.850892873,-2.345731847,1.199149109,-1.92126218,2.723678356,-4.166819762,2.857051549,0.875516547,-2.19604903,1.747432867,6.73080944,-1.49753991,-2.302229399,5.201012143,-1.700059086,-3.100856359,5.008471363,-0.639751901,2.824269625,1.268983576,-0.53344428,-2.842016464,-0.418584693,-0.318556138,3.307574085,-4.308193293,-0.120265476,4.457813055,-0.626650334,-0.721471219,-3.877867235,-2.346740469,-2.604454576,-0.195691834,-4.136860079,-0.642173046,-0.729070944,-1.230483462,-3.758715319
19.28660712,-38.28506271,81.85030248,-1.007653652,-5.371704338,4.585697068,0.784208461,4.114814895,0.654183275,2.323194434,-2.355933155,-1.545576028,2.914205649,1.617235827,-1.457909197,-0.201271201,-1.022183933,0.627115762,1.398333579,0.449827887,-1.371343714,0.568624778,-0.3237633,0.354635075,1.512102092,1.744966596,-1.09466944,-1.619726944,-1.157928598,-0.968112645,-0.41781785,-1.574637657,0.467394951,1.635897022,1.022642583,-1.168997704,1.16240347,-2.37098899,-0.879392775,1.318315334,1.648768542,-0.666753762,0.808796354,-1.854357585,-0.954273872,-0.26178327,1.051698731,-1.176786528,1.335104204,0.34739541,-0.013168152,-1.491661716,-0.072435357,-1.561201361,-0.867868423,1.488599762,-0.102509913,-0.247917904,-1.496301373,-0.156826192,1.011329891,1.716826919,-0.415769992,-0.502928395,1.691729879,0.444531348,-0.197335159,-0.087143537,-1.074052337,0.241339966,-0.589442836,0.683798189,1.057289733,0.847649592,0.322746651,-0.772234465,-0.371764541,0.35494194,-0.095461364,0.749680136,1.366076217,-0.205600616,0.745911177,-0.39934046,-0.353026132
-7.086069403,3.939349445,-3.063845031,-7.695123896,-24.76077816,22.07996833,4.893140982,10.68974388,-0.526335714,1.503097379,-17.64308921,4.116150954,9.304312263,-14.48850087,-8.062891336,-12.25364908,3.76367598,4.506124966,0.636967722,-3.475329053,-1.198885437,-10.58989818,-33.57530258,18.7632124,-10.62321741,-7.307784431,-5.803559043,-8.205973133,14.44213947,30.69126565,2.903931957,15.52598872,-13.10336651,-7.258553931,-4.324586538,5.179583983,-23.19994701,-8.609729767,-4.136202147,8.205211424,-0.661397519,1.902431094,4.958877975,-21.85674199,29.89018513,-0.513233719,11.09673744,-5.121951581,-11.22940672,-6.627797005,-1.106012274,-18.29149765,1.596655495,-7.634454294,9.912620519,-6.770458478,-0.611578146,11.09920267,-6.793964307,-6.779659892,14.4748574,-13.12198034,-3.173406702,-0.500231241,-7.454003673,3.945198853,12.39545874,-12.2516608,-1.321755054,1.407695138,-3.466196263,5.253353021,0.916541718,-2.693538153,1.320344436,4.997937179,3.002847934,-1.59480033,1.636955967,-8.758733238,1.394795642,1.244638292,-1.326877197,-3.197678872,5.347924295
-2.333141268,-2.435646325,-0.198213244,-0.544266949,-1.204736757,1.072782944,1.253571206,-1.786802563,6.021368281,-4.143050555,-3.461468772,-1.81114094,1.194082682,9.454070564,-7.942423848,-5.199131543,-1.07656971,-4.13471626,-4.350664669,3.195089637,-4.323167744,-2.844124735,3.690049777,0.095305094,-2.812312822,-0.130446904,-4.013071555,2.296608941,-0.056364653,5.219899662,4.404044805,5.464310241,-12.7423354,-0.993326654,-0.929751454,-1.978699961,-8.792492104,-7.124870019,-16.24154314,2.739186468,-1.850498076,10.09798452,14.27339186,4.715218889,9.458016211,-7.363637986,-1.505736368,-10.23090762,0.198336672,-0.935732073,11.74465259,11.90351866,-6.920291937,-8.466145669,14.81545985,6.527325343,6.05505675,11.08298736,11.9645541,21.60738937,-10.96437102,-6.89701946,-3.158145628,-4.799785172,-15.7490958,-4.297375604,-28.01942816,13.11026912,-27.27051923,-12.48991931,6.654793525,-22.85627362,-30.57887395,-9.887905666,-16.36344032,2.416281648,0.389692857,0.967519189,8.934255848,16.86943292,-10.77235327,-8.220201954,2.157607846,0.77087372,-0.037534427
